id,tier,preview,level,category,uk,en,de,pl,es,fr,draw
porridge,full,,2,food,Каша,Oatmeal,Haferbrei,Owsianka,Gachas de avena,Porridge,a bowl of oatmeal porridge with berries
chicken_leg,full,,2,food,Куряча ніжка,Chicken leg,Hähnchenkeule,Udko,Muslo de pollo,Cuisse de poulet,a roasted chicken drumstick
fries,full,,1,food,Картопля фрі,French fries,Pommes,Frytki,Patatas fritas,Frites,french fries in a red box
ketchup,full,,2,food,Кетчуп,Ketchup,Ketchup,Keczup,Kétchup,Ketchup,a red ketchup bottle
jam,full,,2,food,Варення,Jam,Marmelade,Dżem,Mermelada,Confiture,a jar of strawberry jam
butter,full,,2,food,Масло,Butter,Butter,Masło,Mantequilla,Beurre,a block of butter on a dish
salt,full,,2,food,Сіль,Salt,Salz,Sól,Sal,Sel,a salt shaker
sugar,full,,2,food,Цукор,Sugar,Zucker,Cukier,Azúcar,Sucre,white sugar cubes
sushi,full,,2,food,Суші,Sushi,Sushi,Sushi,Sushi,Sushi,two pieces of sushi
toast,full,,2,food,Тост,Toast,Toast,Tost,Tostada,Pain grillé,a slice of golden toast
gingerbread_man,full,,2,food,Пряничний чоловічок,Gingerbread man,Lebkuchenmann,Piernikowy ludzik,Hombre de jengibre,Bonhomme en pain d'épices,a gingerbread man cookie
marshmallow,full,,2,food,Маршмелоу,Marshmallow,Marshmallow,Pianka,Malvavisco,Guimauve,pink and white marshmallows
jelly,full,,2,food,Желе,Gelatin,Wackelpudding,Galaretka,Gelatina,Gelée,a wobbly red jelly dessert
milkshake,full,,2,food,Молочний коктейль,Milkshake,Milchshake,Koktajl mleczny,Batido,Milk-shake,a milkshake with a straw and whipped cream
taco,full,,2,food,Тако,Taco,Taco,Taco,Taco,Taco,a taco
cereal,full,,2,food,Пластівці,Cereal,Cornflakes,Płatki,Cereales,Céréales,a bowl of cereal with milk
chopsticks,full,,2,food,Палички для їжі,Chopsticks,Essstäbchen,Pałeczki,Palillos,Baguettes chinoises,a pair of chopsticks
straw,full,,2,food,Трубочка,Straw,Strohhalm,Słomka,Pajita,Paille,a striped drinking straw
lime,full,,2,food,Лайм,Lime,Limette,Limonka,Lima,Citron vert,a green lime
persimmon,full,,2,food,Хурма,Persimmon,Kaki,Persymona,Caqui,Kaki,an orange persimmon
cranberry,full,,2,food,Журавлина,Cranberry,Cranberry,Żurawina,Arándano rojo,Canneberge,a handful of red cranberries
dates,full,,2,food,Фініки,Dates,Datteln,Daktyle,Dátiles,Dattes,a few brown dates
asparagus,full,,2,food,Спаржа,Asparagus,Spargel,Szparagi,Espárragos,Asperges,a bunch of green asparagus
parsley,full,,2,food,Петрушка,Parsley,Petersilie,Pietruszka,Perejil,Persil,a bunch of parsley
borscht,full,,2,food,Борщ,Borscht,Borschtsch,Barszcz,Borsch,Bortsch,a bowl of red beet soup with sour cream
meatballs,full,,2,food,Фрикадельки,Meatballs,Fleischbällchen,Klopsiki,Albóndigas,Boulettes,a plate of meatballs
omelette,full,,2,food,Омлет,Omelette,Omelett,Omlet,Tortilla francesa,Omelette,a folded omelette on a plate
chewing_gum,full,,2,food,Жуйка,Chewing gum,Kaugummi,Guma do żucia,Chicle,Chewing-gum,a pink bubble of chewing gum
cup,full,,1,home,Чашка,Cup,Tasse,Kubek,Taza,Tasse,a cup with a handle
spoon,full,,1,home,Ложка,Spoon,Löffel,Łyżka,Cuchara,Cuillère,a metal spoon
fork,full,,1,home,Виделка,Fork,Gabel,Widelec,Tenedor,Fourchette,a metal fork
knife,full,,2,home,Ніж,Knife,Messer,Nóż,Cuchillo,Couteau,a round-tipped table knife
plate,full,,1,home,Тарілка,Plate,Teller,Talerz,Plato,Assiette,an empty round plate
glass,full,,2,home,Склянка,Glass,Glas,Szklanka,Vaso,Verre,an empty drinking glass
bottle,full,,1,home,Пляшка,Bottle,Flasche,Butelka,Botella,Bouteille,a plastic water bottle
pot,full,,1,home,Каструля,Pot,Topf,Garnek,Olla,Casserole,a cooking pot with a lid
frying_pan,full,,1,home,Сковорідка,Frying pan,Pfanne,Patelnia,Sartén,Poêle,a frying pan
kettle,full,,1,home,Чайник,Kettle,Wasserkessel,Czajnik,Tetera,Bouilloire,a stovetop kettle with a spout
bowl,full,,1,home,Миска,Bowl,Schüssel,Miska,Cuenco,Bol,an empty bowl
fridge,full,,1,home,Холодильник,Fridge,Kühlschrank,Lodówka,Nevera,Frigo,a white fridge
oven,full,,2,home,Духовка,Oven,Backofen,Piekarnik,Horno,Four,a kitchen oven with a glass door
toaster,full,,2,home,Тостер,Toaster,Toaster,Toster,Tostadora,Grille-pain,a toaster with two slices of toast popping up
ladle,full,,2,home,Черпак,Ladle,Schöpflöffel,Chochla,Cucharón,Louche,a soup ladle
rolling_pin,full,,2,home,Качалка,Rolling pin,Nudelholz,Wałek,Rodillo,Rouleau,a wooden rolling pin
basket,full,,1,home,Кошик,Basket,Korb,Koszyk,Cesta,Panier,a woven basket with a handle
jug,full,,2,home,Глечик,Jug,Krug,Dzbanek,Jarra,Cruche,a clay jug
saucepan_lid,full,,2,home,Кришка,Lid,Deckel,Pokrywka,Tapa,Couvercle,a pot lid with a knob
table,full,,1,home,Стіл,Table,Tisch,Stół,Mesa,Table,a wooden table
chair,free,,1,home,Стілець,Chair,Stuhl,Krzesło,Silla,Chaise,a wooden chair
bed,free,,1,home,Ліжко,Bed,Bett,Łóżko,Cama,Lit,a bed with a pillow and blanket
sofa,full,,1,home,Диван,Sofa,Sofa,Kanapa,Sofá,Canapé,a blue sofa
armchair,full,,2,home,Крісло,Armchair,Sessel,Fotel,Sillón,Fauteuil,a soft armchair
wardrobe,full,,1,home,Шафа,Wardrobe,Schrank,Szafa,Armario,Armoire,a wooden wardrobe with two doors
shelf,full,,2,home,Полиця,Shelf,Regal,Półka,Estantería,Étagère,a bookshelf with books
lamp,full,,1,home,Лампа,Lamp,Lampe,Lampa,Lámpara,Lampe,a table lamp with a shade
light_bulb,full,,1,home,Лампочка,Light bulb,Glühbirne,Żarówka,Bombilla,Ampoule,a glowing light bulb
clock,full,,1,home,Годинник,Clock,Uhr,Zegar,Reloj,Horloge,a round wall clock
mirror,full,,1,home,Дзеркало,Mirror,Spiegel,Lustro,Espejo,Miroir,an oval mirror
window,full,,1,home,Вікно,Window,Fenster,Okno,Ventana,Fenêtre,a window with curtains
door,full,,1,home,Двері,Door,Tür,Drzwi,Puerta,Porte,a wooden door with a handle
key,full,,1,home,Ключ,Key,Schlüssel,Klucz,Llave,Clé,a golden key
pillow,full,,1,home,Подушка,Pillow,Kissen,Poduszka,Almohada,Oreiller,a white pillow
blanket,full,,1,home,Ковдра,Blanket,Decke,Koc,Manta,Couverture,a folded checked blanket
rug,full,,2,home,Килим,Rug,Teppich,Dywan,Alfombra,Tapis,a patterned rug
curtains,full,,2,home,Штори,Curtains,Vorhang,Zasłony,Cortinas,Rideaux,window curtains
stairs,full,,1,home,Сходи,Stairs,Treppe,Schody,Escalera,Escalier,a staircase
candle,full,,1,home,Свічка,Candle,Kerze,Świeca,Vela,Bougie,a lit candle
vase,full,,2,home,Ваза,Vase,Vase,Wazon,Jarrón,Vase,a vase with flowers
painting,full,,2,home,Картина,Painting,Bild,Obraz,Cuadro,Tableau,a framed landscape painting
box,full,,1,home,Коробка,Box,Schachtel,Pudełko,Caja,Boîte,a cardboard box
fireplace,full,,2,home,Камін,Fireplace,Kamin,Kominek,Chimenea,Cheminée,a fireplace with fire
bench,full,,1,home,Лавка,Bench,Bank,Ławka,Banco,Banc,a park bench
hanger,full,,2,home,Вішалка,Hanger,Kleiderbügel,Wieszak,Percha,Cintre,a clothes hanger
fan,full,,2,home,Вентилятор,Fan,Ventilator,Wentylator,Ventilador,Ventilateur,an electric fan
flowerpot,full,,2,home,Вазон,Flowerpot,Blumentopf,Doniczka,Maceta,Pot de fleurs,a potted plant
chest_of_drawers,full,,2,home,Комод,Dresser,Kommode,Komoda,Cómoda,Commode,a chest of drawers
stool,full,,2,home,Табурет,Stool,Hocker,Taboret,Taburete,Tabouret,a wooden stool
socket,full,,2,home,Розетка,Socket,Steckdose,Gniazdko,Enchufe,Prise,a wall power socket
roof,full,,2,home,Дах,Roof,Dach,Dach,Tejado,Toit,a red tiled roof
cradle,full,,2,home,Колиска,Cradle,Wiege,Kołyska,Cuna,Berceau,a wooden baby cradle
toothbrush,free,,1,home,Зубна щітка,Toothbrush,Zahnbürste,Szczoteczka,Cepillo de dientes,Brosse à dents,a toothbrush with toothpaste
toothpaste,full,,2,home,Зубна паста,Toothpaste,Zahnpasta,Pasta do zębów,Pasta de dientes,Dentifrice,a tube of toothpaste
soap,full,,1,home,Мило,Soap,Seife,Mydło,Jabón,Savon,a bar of soap with bubbles
towel,full,,1,home,Рушник,Towel,Handtuch,Ręcznik,Toalla,Serviette,a folded towel
bathtub,full,,1,home,Ванна,Bathtub,Badewanne,Wanna,Bañera,Baignoire,a bathtub with bubbles
shower,full,,2,home,Душ,Shower,Dusche,Prysznic,Ducha,Douche,a shower head with water
toilet,full,,1,home,Унітаз,Toilet,Toilette,Toaleta,Inodoro,Toilettes,a white toilet
comb,full,,1,home,Гребінець,Comb,Kamm,Grzebień,Peine,Peigne,a comb
sponge,full,,1,home,Губка,Sponge,Schwamm,Gąbka,Esponja,Éponge,a yellow sponge
broom,full,,1,home,Віник,Broom,Besen,Miotła,Escoba,Balai,a broom
bucket,full,,1,home,Відро,Bucket,Eimer,Wiadro,Cubo,Seau,a bucket with a handle
vacuum,full,,1,home,Пилосос,Vacuum cleaner,Staubsauger,Odkurzacz,Aspiradora,Aspirateur,a vacuum cleaner
washing_machine,full,,1,home,Пральна машина,Washing machine,Waschmaschine,Pralka,Lavadora,Machine à laver,a washing machine
iron,full,,2,home,Праска,Iron,Bügeleisen,Żelazko,Plancha,Fer à repasser,a clothes iron
tap,full,,2,home,Кран,Faucet,Wasserhahn,Kran,Grifo,Robinet,a water tap with a drop
hair_dryer,full,,2,home,Фен,Hair dryer,Föhn,Suszarka,Secador,Sèche-cheveux,a hair dryer
rubber_duck,full,,1,home,Гумова качечка,Rubber duck,Quietscheente,Gumowa kaczuszka,Patito de goma,Canard en plastique,a yellow rubber duck
phone,full,,1,home,Телефон,Phone,Telefon,Telefon,Teléfono,Téléphone,a smartphone
computer,full,,1,home,Комп'ютер,Computer,Computer,Komputer,Ordenador,Ordinateur,a desktop computer with a monitor and keyboard
tv,full,,1,home,Телевізор,TV,Fernseher,Telewizor,Televisión,Télé,a television
camera,full,,1,home,Фотоапарат,Camera,Kamera,Aparat,Cámara,Appareil photo,a photo camera
battery,full,,2,home,Батарейка,Battery,Batterie,Bateria,Pila,Pile,an AA battery
telescope,full,,2,home,Телескоп,Telescope,Teleskop,Teleskop,Telescopio,Télescope,a telescope on a tripod
headphones,full,,1,home,Навушники,Headphones,Kopfhörer,Słuchawki,Auriculares,Casque audio,over-ear headphones
microphone,full,,2,home,Мікрофон,Microphone,Mikrofon,Mikrofon,Micrófono,Micro,a microphone
laptop,full,,2,home,Ноутбук,Laptop,Laptop,Laptop,Portátil,Ordinateur portable,an open laptop
remote,full,,2,home,Пульт,Remote,Fernbedienung,Pilot,Mando,Télécommande,a TV remote control
alarm_clock,full,,2,home,Будильник,Alarm clock,Wecker,Budzik,Despertador,Réveil,an alarm clock with two bells
tray,full,,2,home,Таця,Tray,Tablett,Taca,Bandeja,Plateau,an empty serving tray
colander,full,,2,home,Друшляк,Colander,Sieb,Durszlak,Colador,Passoire,a colander with holes
grater,full,,2,home,Тертка,Grater,Reibe,Tarka,Rallador,Râpe,a box grater
whisk,full,,2,home,Вінчик,Whisk,Schneebesen,Trzepaczka,Batidor,Fouet,a kitchen whisk
jar,full,,2,home,Банка,Jar,Einmachglas,Słoik,Tarro,Bocal,an empty glass jar with a lid
thermos,full,,2,home,Термос,Thermos,Thermoskanne,Termos,Termo,Thermos,a thermos flask
microwave,full,,2,home,Мікрохвильовка,Microwave,Mikrowelle,Mikrofalówka,Microondas,Micro-ondes,a microwave oven
mailbox,full,,2,home,Поштова скринька,Mailbox,Briefkasten,Skrzynka pocztowa,Buzón,Boîte aux lettres,a mailbox
photo_frame,full,,2,home,Рамка,Photo frame,Bilderrahmen,Ramka,Marco,Cadre,an empty photo frame
sink,full,,2,home,Раковина,Sink,Waschbecken,Umywalka,Lavabo,Lavabo,a bathroom sink with a tap
shampoo,full,,2,home,Шампунь,Shampoo,Shampoo,Szampon,Champú,Shampoing,a shampoo bottle
toilet_paper,full,,1,home,Туалетний папір,Toilet paper,Klopapier,Papier toaletowy,Papel higiénico,Papier toilette,a roll of toilet paper
plaster,full,,1,home,Пластир,Bandage,Pflaster,Plaster,Tirita,Pansement,an adhesive bandage
thermometer,full,,2,home,Градусник,Thermometer,Fieberthermometer,Termometr,Termómetro,Thermomètre,a digital fever thermometer
mop,full,,2,home,Швабра,Mop,Wischmopp,Mop,Fregona,Serpillière,a floor mop
dustpan,full,,2,home,Совок,Dustpan,Kehrschaufel,Szufelka,Recogedor,Pelle à poussière,a dustpan with a small brush
clothespin,full,,2,home,Прищіпка,Clothespin,Wäscheklammer,Klamerka,Pinza,Pince à linge,a wooden clothespin
trash_can,full,,1,home,Смітник,Trash can,Mülleimer,Kosz na śmieci,Papelera,Poubelle,a trash can with a lid
pacifier,full,,1,home,Соска,Pacifier,Schnuller,Smoczek,Chupete,Tétine,a baby pacifier
diaper,full,,2,home,Підгузок,Diaper,Windel,Pieluszka,Pañal,Couche,a baby diaper
bathrobe,full,,2,home,Халат,Bathrobe,Bademantel,Szlafrok,Albornoz,Peignoir,a fluffy bathrobe
first_aid_kit,full,,2,home,Аптечка,First aid kit,Verbandskasten,Apteczka,Botiquín,Trousse de secours,a first aid kit with a cross
stethoscope,full,,2,home,Стетоскоп,Stethoscope,Stethoskop,Stetoskop,Estetoscopio,Stéthoscope,a stethoscope
elevator,full,,2,home,Ліфт,Elevator,Aufzug,Winda,Ascensor,Ascenseur,an elevator with open doors
tablet,full,,2,home,Планшет,Tablet,Tablet,Tablet,Tableta,Tablette,a tablet computer
radio,full,,2,home,Радіо,Radio,Radio,Radio,Radio,Radio,an old radio with an antenna
drone,full,,2,home,Дрон,Drone,Drohne,Dron,Dron,Drone,a small drone with four propellers
calculator,full,,2,home,Калькулятор,Calculator,Taschenrechner,Kalkulator,Calculadora,Calculatrice,a calculator
satellite,full,,2,home,Супутник,Satellite,Satellit,Satelita,Satélite,Satellite,a satellite in space with solar panels
bunk_bed,full,,2,home,Двоповерхове ліжко,Bunk bed,Etagenbett,Łóżko piętrowe,Litera,Lits superposés,a bunk bed
baby_bottle,full,,2,home,Пляшечка,Baby bottle,Babyflasche,Butelka dla niemowląt,Biberón,Biberon,a baby bottle with milk
bib,full,,2,home,Слинявчик,Bib,Lätzchen,Śliniak,Babero,Bavoir,a baby bib
hairbrush,full,,2,home,Щітка для волосся,Hairbrush,Haarbürste,Szczotka do włosów,Cepillo del pelo,Brosse à cheveux,a hairbrush
air_conditioner,full,,2,home,Кондиціонер,Air conditioner,Klimaanlage,Klimatyzator,Aire acondicionado,Climatiseur,a wall air conditioner
chandelier,full,,2,home,Люстра,Chandelier,Kronleuchter,Żyrandol,Lámpara de araña,Lustre,a ceiling chandelier
dishwasher,full,,2,home,Посудомийна машина,Dishwasher,Spülmaschine,Zmywarka,Lavavajillas,Lave-vaisselle,an open dishwasher with plates
spatula,full,,2,home,Лопатка,Spatula,Pfannenwender,Łopatka,Espátula,Spatule,a kitchen spatula
lunch_box,full,,2,home,Ланч-бокс,Lunch box,Brotdose,Śniadaniówka,Fiambrera,Boîte à goûter,a lunch box with a sandwich
printer,full,,2,home,Принтер,Printer,Drucker,Drukarka,Impresora,Imprimante,a printer with a sheet of paper
keyboard,full,,2,home,Клавіатура,Keyboard,Tastatur,Klawiatura,Teclado,Clavier,a computer keyboard
speaker,full,,2,home,Колонка,Speaker,Lautsprecher,Głośnik,Altavoz,Enceinte,a music speaker
birdcage,full,,2,home,Клітка,Birdcage,Vogelkäfig,Klatka dla ptaków,Jaula,Cage,an empty round birdcage
folding_fan,full,,2,home,Віяло,Folding fan,Fächer,Wachlarz,Abanico,Éventail,an open folding hand fan
barrel,full,,2,home,Бочка,Barrel,Fass,Beczka,Barril,Tonneau,a wooden barrel
paint_can,full,,2,home,Банка фарби,Paint can,Farbeimer,Puszka farby,Bote de pintura,Pot de peinture,an open can of blue paint
woolly_hat,full,,1,clothes,Шапка,Winter hat,Mütze,Czapka,Gorro,Bonnet,a knitted winter hat with a pompom
hat,full,,2,clothes,Капелюх,Hat,Hut,Kapelusz,Sombrero,Chapeau,a brimmed sun hat
cap,full,,1,clothes,Кепка,Cap,Kappe,Czapka z daszkiem,Gorra,Casquette,a baseball cap
scarf,full,,1,clothes,Шарф,Scarf,Schal,Szalik,Bufanda,Écharpe,a striped knitted scarf
mittens,full,,1,clothes,Рукавиці,Mittens,Fäustlinge,Rękawiczki,Manoplas,Moufles,a pair of knitted mittens
jacket,full,,1,clothes,Куртка,Jacket,Jacke,Kurtka,Chaqueta,Veste,a zip-up jacket
coat,full,,2,clothes,Пальто,Coat,Mantel,Płaszcz,Abrigo,Manteau,a long coat with buttons
dress,full,,1,clothes,Сукня,Dress,Kleid,Sukienka,Vestido,Robe,a girl's dress
skirt,full,,1,clothes,Спідниця,Skirt,Rock,Spódnica,Falda,Jupe,a pleated skirt
t_shirt,full,,1,clothes,Футболка,T-shirt,T-Shirt,Koszulka,Camiseta,Tee-shirt,a t-shirt
shirt,full,,2,clothes,Сорочка,Shirt,Hemd,Koszula,Camisa,Chemise,a button-up shirt with a collar
sweater,full,,1,clothes,Светр,Sweater,Pullover,Sweter,Jersey,Pull,a knitted sweater
trousers,full,,1,clothes,Штани,Pants,Hose,Spodnie,Pantalones,Pantalon,a pair of trousers
shorts,full,,1,clothes,Шорти,Shorts,Shorts,Szorty,Pantalón corto,Short,a pair of shorts
jeans,full,,2,clothes,Джинси,Jeans,Jeans,Dżinsy,Tejanos,Jean,a pair of blue jeans
socks,full,,1,clothes,Шкарпетки,Socks,Socken,Skarpetki,Calcetines,Chaussettes,a pair of striped socks
pajamas,full,,1,clothes,Піжама,Pajamas,Schlafanzug,Piżama,Pijama,Pyjama,a pajama top and bottoms with stars
swimsuit,full,,2,clothes,Купальник,Swimsuit,Badeanzug,Strój kąpielowy,Bañador,Maillot de bain,a one-piece swimsuit
raincoat,full,,2,clothes,Дощовик,Raincoat,Regenmantel,Płaszcz przeciwdeszczowy,Chubasquero,Imperméable,a yellow raincoat with a hood
belt,full,,2,clothes,Пасок,Belt,Gürtel,Pasek,Cinturón,Ceinture,a leather belt with a buckle
tie,full,,2,clothes,Краватка,Tie,Krawatte,Krawat,Corbata,Cravate,a necktie
button,full,,1,clothes,Ґудзик,Button,Knopf,Guzik,Botón,Bouton,a round button with four holes
apron,full,,2,clothes,Фартух,Apron,Schürze,Fartuch,Delantal,Tablier,a kitchen apron
boots,full,,1,clothes,Чоботи,Boots,Stiefel,Kalosze,Botas,Bottes,a pair of rubber rain boots
sneakers,full,,1,clothes,Кросівки,Sneakers,Turnschuhe,Trampki,Zapatillas,Baskets,a pair of sneakers
slippers,full,,1,clothes,Капці,Slippers,Hausschuhe,Kapcie,Pantuflas,Chaussons,a pair of fluffy slippers
sandals,full,,2,clothes,Сандалі,Sandals,Sandalen,Sandały,Sandalias,Sandales,a pair of sandals
glasses,full,,1,clothes,Окуляри,Glasses,Brille,Okulary,Gafas,Lunettes,a pair of eyeglasses
sunglasses,full,,2,clothes,Сонцезахисні окуляри,Sunglasses,Sonnenbrille,Okulary przeciwsłoneczne,Gafas de sol,Lunettes de soleil,a pair of dark sunglasses
umbrella,full,,1,clothes,Парасолька,Umbrella,Regenschirm,Parasol,Paraguas,Parapluie,an open umbrella
backpack,full,,1,clothes,Рюкзак,Backpack,Rucksack,Plecak,Mochila,Sac à dos,a school backpack
bag,full,,1,clothes,Сумка,Bag,Tasche,Torba,Bolso,Sac,a handbag
ring,full,,2,clothes,Каблучка,Ring,Ring,Pierścionek,Anillo,Bague,a gold ring with a gem
necklace,full,,2,clothes,Намисто,Necklace,Halskette,Naszyjnik,Collar,Collier,a bead necklace
bow,full,,1,clothes,Бантик,Bow,Schleife,Kokarda,Lazo,Nœud,a pink ribbon bow
wallet,full,,2,clothes,Гаманець,Wallet,Geldbörse,Portfel,Cartera,Portefeuille,a leather wallet
suitcase,full,,2,clothes,Валіза,Suitcase,Koffer,Walizka,Maleta,Valise,a travel suitcase with wheels
hoodie,full,,2,clothes,Худі,Hoodie,Kapuzenpullover,Bluza z kapturem,Sudadera,Sweat à capuche,a hooded sweatshirt
overalls,full,,2,clothes,Комбінезон,Overalls,Latzhose,Ogrodniczki,Peto,Salopette,a pair of denim overalls
tights,full,,2,clothes,Колготки,Tights,Strumpfhose,Rajstopy,Leotardos,Collants,a pair of colorful tights
headband,full,,2,clothes,Обідок,Headband,Haarreif,Opaska,Diadema,Serre-tête,a hair headband with a bow
vest,full,,2,clothes,Жилетка,Vest,Weste,Kamizelka,Chaleco,Gilet,a knitted vest
watch,full,,2,clothes,Наручний годинник,Watch,Armbanduhr,Zegarek,Reloj de pulsera,Montre,a wristwatch
flip_flops,full,,2,clothes,В'єтнамки,Flip-flops,Flip-Flops,Japonki,Chanclas,Tongs,a pair of flip-flops
beret,full,,2,clothes,Берет,Beret,Baskenmütze,Beret,Boina,Béret,a red beret
shoe,full,,2,clothes,Черевик,Shoe,Schuh,But,Zapato,Chaussure,a single laced shoe
ball,free,,1,toys,М'яч,Ball,Ball,Piłka,Pelota,Balle,a colorful ball
balloon,free,,1,toys,Кулька,Balloon,Luftballon,Balon,Globo,Ballon,a red balloon on a string
doll,full,,1,toys,Лялька,Doll,Puppe,Lalka,Muñeca,Poupée,a doll in a dress
teddy_bear,free,,1,toys,Ведмедик,Teddy bear,Teddybär,Miś,Osito de peluche,Nounours,a brown teddy bear
blocks,full,,1,toys,Кубики,Blocks,Bauklötze,Klocki,Bloques,Cubes,a stack of colorful toy blocks
kite,full,,1,toys,Повітряний змій,Kite,Drachen,Latawiec,Cometa,Cerf-volant,a diamond kite with a tail
yo_yo,full,,2,toys,Йо-йо,Yo-yo,Jo-Jo,Jo-jo,Yoyó,Yo-yo,a yo-yo on a string
spinning_top,full,,2,toys,Дзиґа,Spinning top,Kreisel,Bączek,Peonza,Toupie,a colorful spinning top
puzzle,full,,1,toys,Пазл,Puzzle,Puzzle,Puzzle,Puzle,Puzzle,a few jigsaw puzzle pieces
jump_rope,full,,1,toys,Скакалка,Jump rope,Springseil,Skakanka,Comba,Corde à sauter,a jump rope with handles
swing,full,,1,toys,Гойдалка,Swing,Schaukel,Huśtawka,Columpio,Balançoire,a playground swing
slide,full,,1,toys,Гірка,Slide,Rutsche,Zjeżdżalnia,Tobogán,Toboggan,a playground slide
sandbox,full,,1,toys,Пісочниця,Sandbox,Sandkasten,Piaskownica,Arenero,Bac à sable,a sandbox with a bucket and spade
scooter,full,,1,toys,Самокат,Scooter,Roller,Hulajnoga,Patinete,Trottinette,a kick scooter
bubbles,full,,1,toys,Мильні бульбашки,Bubbles,Seifenblasen,Bańki mydlane,Pompas de jabón,Bulles de savon,soap bubbles and a bubble wand
sled,full,,1,toys,Санки,Sled,Schlitten,Sanki,Trineo,Luge,a wooden sled
hoop,full,,2,toys,Обруч,Hoop,Reifen,Obręcz,Aro,Cerceau,a hula hoop
skittles,full,,2,toys,Кеглі,Skittles,Kegel,Kręgle,Bolos,Quilles,bowling pins and a ball
toy_car,full,,1,toys,Іграшкова машинка,Toy car,Spielzeugauto,Samochodzik,Cochecito,Petite voiture,a small red toy car
pyramid_toy,full,,2,toys,Пірамідка,Stacking rings,Ringpyramide,Piramidka,Pirámide de aros,Pyramide d'anneaux,a colorful ring-stacking toy
rocking_horse,full,,2,toys,Конячка-гойдалка,Rocking horse,Schaukelpferd,Koń na biegunach,Caballito balancín,Cheval à bascule,a wooden rocking horse
dollhouse,full,,2,toys,Ляльковий будиночок,Dollhouse,Puppenhaus,Domek dla lalek,Casa de muñecas,Maison de poupée,a dollhouse
dice,full,,2,toys,Гральний кубик,Dice,Würfel,Kostka do gry,Dado,Dé,a white dice with dots
rattle,full,,2,toys,Брязкальце,Rattle,Rassel,Grzechotka,Sonajero,Hochet,a baby rattle
paper_plane,full,,1,toys,Паперовий літачок,Paper plane,Papierflieger,Papierowy samolot,Avión de papel,Avion en papier,a paper airplane
sandcastle,full,,1,toys,Пісочний замок,Sandcastle,Sandburg,Zamek z piasku,Castillo de arena,Château de sable,a sandcastle with a flag
paper_boat,full,,2,toys,Паперовий кораблик,Paper boat,Papierschiff,Łódka z papieru,Barco de papel,Bateau en papier,a folded paper boat
snowball,full,,1,toys,Сніжка,Snowball,Schneeball,Śnieżka,Bola de nieve,Boule de neige,a round snowball
ball_of_yarn,full,,2,toys,Клубок,Ball of yarn,Wollknäuel,Kłębek,Ovillo,Pelote de laine,a ball of red yarn
play_dough,full,,1,toys,Пластилін,Plasticine,Knete,Plastelina,Plastilina,Pâte à modeler,colorful modeling clay sticks
stickers,full,,1,toys,Наліпки,Stickers,Aufkleber,Naklejki,Pegatinas,Autocollants,a sheet of stickers with stars
kaleidoscope,full,,2,toys,Калейдоскоп,Kaleidoscope,Kaleidoskop,Kalejdoskop,Caleidoscopio,Kaléidoscope,a kaleidoscope tube
chess,full,,2,toys,Шахи,Chess,Schach,Szachy,Ajedrez,Échecs,a chessboard with pieces
dominoes,full,,2,toys,Доміно,Dominoes,Domino,Domino,Dominó,Dominos,a row of domino tiles
coloring_book,full,,2,toys,Розмальовка,Coloring book,Malbuch,Kolorowanka,Libro para colorear,Cahier de coloriage,an open coloring book with crayons
car,free,,1,transport,Машина,Car,Auto,Samochód,Coche,Voiture,a red car
bus,free,,1,transport,Автобус,Bus,Bus,Autobus,Autobús,Bus,a yellow bus
train,free,,1,transport,Потяг,Train,Zug,Pociąg,Tren,Train,a train with carriages
plane,free,,1,transport,Літак,Plane,Flugzeug,Samolot,Avión,Avion,a passenger plane
ship,full,,1,transport,Корабель,Ship,Schiff,Statek,Barco,Bateau,a big ship
boat,full,,1,transport,Човен,Boat,Boot,Łódka,Barca,Barque,a small rowing boat with oars
sailboat,full,,2,transport,Вітрильник,Sailboat,Segelboot,Żaglówka,Velero,Voilier,a sailboat
bicycle,full,,1,transport,Велосипед,Bicycle,Fahrrad,Rower,Bicicleta,Vélo,a bicycle
motorcycle,full,,1,transport,Мотоцикл,Motorcycle,Motorrad,Motocykl,Moto,Moto,a motorcycle
truck,full,,1,transport,Вантажівка,Truck,Lastwagen,Ciężarówka,Camión,Camion,a delivery truck
tractor,full,,1,transport,Трактор,Tractor,Traktor,Traktor,Tractor,Tracteur,a green tractor
helicopter,full,,1,transport,Гелікоптер,Helicopter,Hubschrauber,Helikopter,Helicóptero,Hélicoptère,a helicopter
rocket,full,yes,1,transport,Ракета,Rocket,Rakete,Rakieta,Cohete,Fusée,a space rocket
taxi,full,,2,transport,Таксі,Taxi,Taxi,Taksówka,Taxi,Taxi,a yellow taxi
ambulance,full,,1,transport,Швидка допомога,Ambulance,Krankenwagen,Karetka,Ambulancia,Ambulance,an ambulance
fire_truck,full,,1,transport,Пожежна машина,Fire truck,Feuerwehrauto,Wóz strażacki,Camión de bomberos,Camion de pompiers,a red fire truck with a ladder
police_car,full,,1,transport,Поліцейська машина,Police car,Polizeiauto,Radiowóz,Coche de policía,Voiture de police,a police car
tram,full,,2,transport,Трамвай,Tram,Straßenbahn,Tramwaj,Tranvía,Tramway,a tram
submarine,full,,2,transport,Підводний човен,Submarine,U-Boot,Łódź podwodna,Submarino,Sous-marin,a yellow submarine
